tipo_carne,ano,trimestre,producao_cabecas_anual_mi,abate_cabecas,peso_carcaca_ton,exportacao_usd,media_cambio_usdbrl,custo_milho_rs,custo_soja_rs,preco_medio_ton_usd,date,time_index,quarter_sin,quarter_cos,halfyear_sin,halfyear_cos,exportacao_usd_lag1,exportacao_usd_lag2,exportacao_usd_lag3,exportacao_usd_lag4,exportacao_usd_rolling_mean_4,exportacao_usd_ewm_4,exportacao_usd_diff_1,exportacao_usd_pct_change_a,preco_medio_ton_usd_lag1,preco_medio_ton_usd_lag2,preco_medio_ton_usd_lag3,preco_medio_ton_usd_lag4,preco_medio_ton_usd_rolling_mean_4,preco_medio_ton_usd_ewm_4,preco_medio_ton_usd_diff_1,preco_medio_ton_usd_pct_change_a
frango,2024,4,1600.0,1.615,3.36,2.366,5.83,64.4,128.58,1.87,2024-10-01,43,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,2.393,2.253,1.915,1.998,2.1397500000000003,2.233814090978848,-0.02699999999999969,0.18418418418418425,1.948,1.775,1.706,1.738,1.79175,1.8480890857420786,-0.07799999999999985,0.07594936708860756
suino,2015,1,40.33,9.17,0.794,0.197,2.87,22.95,60.01,2.589,2015-01-01,4,0.0,1.0,0.0,1.0,0.41,0.399,0.375,0.26,0.361,0.36992,-0.21299999999999997,-0.24230769230769234,3.674,3.774,3.471,2.811,3.4325,3.48236,-1.085,-0.07897545357524016
suino,2015,2,40.33,9.7,0.86,0.3,3.07,20.92,57.96,2.565,2015-04-01,5,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.197,0.41,0.399,0.375,0.34525,0.300752,0.10299999999999998,-0.20000000000000007,2.589,3.674,3.774,3.471,3.377,3.125016,-0.02400000000000002,-0.2610198789974071
suino,2015,3,40.33,10.184,0.897,0.367,3.59,23.8,69.05,2.587,2015-07-01,6,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.3,0.197,0.41,0.399,0.3265,0.30045120000000003,0.067,-0.08020050125313294,2.565,2.589,3.674,3.774,3.1505,2.9010096,0.02200000000000024,-0.3145204027556968
suino,2015,4,40.33,10.216,0.877,0.301,3.83,27.76,70.2,2.205,2015-10-01,7,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.367,0.3,0.197,0.41,0.3185,0.32707072000000004,-0.066,-0.2658536585365854,2.587,2.565,2.589,3.674,2.85375,2.77540576,-0.3820000000000001,-0.3998366902558519
suino,2016,1,39.95,10.061,0.878,0.247,3.82,36.46,65.52,1.769,2016-01-01,8,0.0,1.0,0.0,1.0,0.301,0.367,0.3,0.197,0.29125,0.31664243200000003,-0.05399999999999999,0.25380710659898464,2.205,2.587,2.565,2.589,2.4865,2.5472434560000004,-0.43600000000000017,-0.31672460409424485
suino,2016,2,39.95,10.46,0.919,0.326,3.46,44.43,80.69,2.021,2016-04-01,9,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.247,0.301,0.367,0.3,0.30374999999999996,0.2887854592,0.07900000000000001,0.08666666666666667,1.769,2.205,2.587,2.565,2.2815,2.2359460736,0.252,-0.21208576998050688
suino,2016,3,39.95,10.721,0.949,0.392,3.23,39.51,70.56,2.269,2016-07-01,10,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.326,0.247,0.301,0.367,0.31024999999999997,0.30367127552,0.066,0.0681198910081744,2.021,1.769,2.205,2.587,2.1455,2.14996764416,0.24800000000000022,-0.12292230382682645
suino,2016,4,39.95,10.808,0.938,0.383,3.32,33.69,69.94,2.48,2016-10-01,11,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.392,0.326,0.247,0.301,0.3165,0.339002765312,-0.009000000000000008,0.2724252491694352,2.269,2.021,1.769,2.205,2.066,2.197580586496,0.21099999999999985,0.12471655328798192
suino,2017,1,41.1,10.479,0.9,0.365,3.14,26.22,61.42,2.381,2017-01-01,12,0.0,1.0,0.0,1.0,0.383,0.392,0.326,0.247,0.337,0.3566016591872,-0.018000000000000016,0.4777327935222673,2.48,2.269,2.021,1.769,2.13475,2.3105483518975998,-0.0990000000000002,0.3459581684567552
suino,2017,2,41.1,10.615,0.95,0.374,3.21,21.37,58.3,2.671,2017-04-01,13,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.365,0.383,0.392,0.326,0.3665,0.35996099551231997,0.009000000000000008,0.14723926380368102,2.381,2.48,2.269,2.021,2.28775,2.3387290111385597,0.29000000000000004,0.32162295893122206
suino,2017,3,41.1,11.035,0.987,0.392,3.07,21.77,58.9,2.449,2017-07-01,14,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.374,0.365,0.383,0.392,0.3785,0.365576597307392,0.018000000000000016,0.0,2.671,2.381,2.48,2.269,2.45025,2.4716374066831355,-0.22199999999999998,0.07933010136624041
suino,2017,4,41.1,11.053,0.974,0.332,3.24,25.24,63.35,2.396,2017-10-01,15,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.392,0.374,0.365,0.383,0.3785,0.3761459583844352,-0.06,-0.13315926892950392,2.449,2.671,2.381,2.48,2.49525,2.4625824440098816,-0.052999999999999936,-0.03387096774193554
suino,2018,1,41.4,10.716,0.957,0.281,3.24,29.28,67.28,2.132,2018-01-01,16,0.0,1.0,0.0,1.0,0.332,0.392,0.374,0.365,0.36575,0.3584875750306611,-0.05099999999999999,-0.2301369863013698,2.396,2.449,2.671,2.381,2.4742499999999996,2.435949466405929,-0.2639999999999998,-0.10457790844183101
suino,2018,2,41.4,10.82,0.978,0.214,3.6,33.39,72.06,2.029,2018-04-01,17,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.281,0.332,0.392,0.374,0.34475,0.32749254501839664,-0.06700000000000003,-0.4278074866310161,2.132,2.396,2.449,2.671,2.412,2.3143696798435576,-0.1030000000000002,-0.24035941594908272
suino,2018,3,41.4,11.558,1.037,0.288,3.95,34.71,79.52,1.808,2018-07-01,18,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.214,0.281,0.332,0.392,0.30475,0.282095527011038,0.07399999999999998,-0.26530612244897966,2.029,2.132,2.396,2.449,2.2515,2.2002218079061344,-0.22099999999999986,-0.2617394855042874
suino,2018,4,41.4,11.096,0.97,0.286,3.84,31.06,72.15,1.873,2018-10-01,19,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.288,0.214,0.281,0.332,0.27875,0.2844573162066228,-0.0020000000000000018,-0.13855421686747005,1.808,2.029,2.132,2.396,2.09125,2.0433330847436806,0.06499999999999995,-0.21828046744574292
suino,2019,1,40.6,11.294,0.99,0.271,3.76,32.12,69.12,2.009,2019-01-01,20,0.0,1.0,0.0,1.0,0.286,0.288,0.214,0.281,0.26725,0.2850743897239737,-0.014999999999999958,-0.03558718861209964,1.873,1.808,2.029,2.132,1.9605,1.9751998508462083,0.1359999999999999,-0.05769230769230782
suino,2019,2,40.6,11.394,1.017,0.375,3.92,30.42,70.14,2.238,2019-04-01,21,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.271,0.286,0.288,0.214,0.26475,0.2794446338343842,0.10399999999999998,0.752336448598131,2.009,1.873,1.808,2.029,1.9297499999999999,1.988719910507725,0.2290000000000001,0.10300640709709219
suino,2019,3,40.6,11.75,1.057,0.379,3.96,30.87,75.77,2.281,2019-07-01,22,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.375,0.271,0.286,0.288,0.305,0.31766678030063056,0.0040000000000000036,0.3159722222222223,2.238,2.009,1.873,1.808,1.982,2.0884319463046346,0.04300000000000015,0.2616150442477876
suino,2019,4,40.6,11.886,1.058,0.457,4.11,37.34,78.68,2.459,2019-10-01,23,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.379,0.375,0.271,0.286,0.32775,0.34220006818037835,0.07800000000000001,0.5979020979020981,2.281,2.238,2.009,1.873,2.10025,2.165459167782781,0.17799999999999994,0.3128670581954085
suino,2020,1,41.1,11.882,1.066,0.451,4.46,44.54,81.87,2.499,2020-01-01,24,0.0,1.0,0.0,1.0,0.457,0.379,0.375,0.271,0.3705,0.38812004090822705,-0.006000000000000005,0.6642066420664205,2.459,2.281,2.238,2.009,2.24675,2.282875500669668,0.040000000000000036,0.24390243902439046
suino,2020,2,41.1,12.104,1.103,0.556,5.38,41.33,95.82,2.314,2020-04-01,25,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.451,0.457,0.379,0.375,0.41550000000000004,0.4132720245449362,0.10500000000000004,0.4826666666666668,2.499,2.459,2.281,2.238,2.36925,2.369325300401801,-0.18500000000000005,0.03395889186773915
suino,2020,3,41.1,12.728,1.172,0.563,5.37,51.58,128.3,2.219,2020-07-01,26,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.556,0.451,0.457,0.379,0.46075000000000005,0.47036321472696174,0.006999999999999895,0.48548812664907626,2.314,2.499,2.459,2.281,2.38825,2.347195180241081,-0.0950000000000002,-0.027181060938185175
suino,2020,4,41.1,12.5,1.12,0.548,3.39,69.2,140.93,2.428,2020-10-01,27,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.563,0.556,0.451,0.457,0.50675,0.507417928836177,-0.014999999999999902,0.19912472647702417,2.219,2.314,2.499,2.459,2.37275,2.295917108144648,0.20900000000000007,-0.0126067507116715
suino,2021,1,42.5,12.688,1.16,0.554,5.48,76.67,158.79,2.475,2021-01-01,28,0.0,1.0,0.0,1.0,0.548,0.563,0.556,0.451,0.5295000000000001,0.5236507573017062,0.006000000000000005,0.22838137472283826,2.428,2.219,2.314,2.499,2.365,2.348750264886789,0.04700000000000015,-0.009603841536614643
suino,2021,2,42.5,13.04,1.218,0.71,5.29,82.35,152.11,2.57,2021-04-01,29,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.554,0.548,0.563,0.556,0.55525,0.5357904543810237,0.15599999999999992,0.2769784172661869,2.475,2.428,2.219,2.314,2.359,2.399250158932073,0.09499999999999975,0.11063094209161606
suino,2021,3,42.5,13.74,1.276,0.669,5.22,85.34,159.3,2.425,2021-07-01,30,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.71,0.554,0.548,0.563,0.59375,0.6054742726286142,-0.040999999999999925,0.18827708703374801,2.57,2.475,2.428,2.219,2.423,2.467550095359244,-0.14500000000000002,0.09283461018476791
suino,2021,4,42.5,13.375,1.222,0.54,5.58,79.5,158.54,2.263,2021-10-01,31,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.669,0.71,0.554,0.548,0.62025,0.6308845635771685,-0.129,-0.014598540145985384,2.425,2.57,2.475,2.428,2.4745,2.4505300572155466,-0.16199999999999992,-0.06795716639209226
suino,2022,1,44.4,13.654,1.246,0.462,5.22,89.65,191.99,2.169,2022-01-01,32,0.0,1.0,0.0,1.0,0.54,0.669,0.71,0.554,0.61825,0.5945307381463011,-0.07800000000000001,-0.1660649819494585,2.263,2.425,2.57,2.475,2.43325,2.375518034329328,-0.09399999999999986,-0.12363636363636366
suino,2022,2,44.4,14.069,1.307,0.574,4.92,79.74,177.16,2.347,2022-04-01,33,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.462,0.54,0.669,0.71,0.5952500000000001,0.5415184428877806,0.11199999999999993,-0.19154929577464797,2.169,2.263,2.425,2.57,2.35675,2.2929108205975965,0.17799999999999994,-0.08677042801556412
suino,2022,3,44.4,14.474,1.334,0.693,5.24,78.13,169.26,2.405,2022-07-01,34,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.574,0.462,0.54,0.669,0.56125,0.5545110657326684,0.119,0.03587443946188329,2.347,2.169,2.263,2.425,2.301,2.314546492358558,0.05799999999999983,-0.008247422680412342
suino,2022,4,44.4,13.893,1.274,0.676,5.25,77.31,167.87,2.528,2022-10-01,35,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.693,0.574,0.462,0.54,0.56725,0.6099066394396011,-0.016999999999999904,0.25185185185185177,2.405,2.347,2.169,2.263,2.296,2.350727895415135,0.12300000000000022,0.1171011931064958
suino,2023,1,43.0,14.165,1.291,0.601,5.19,74.78,151.79,2.455,2023-01-01,36,0.0,1.0,0.0,1.0,0.676,0.693,0.574,0.462,0.6012500000000001,0.6363439836637607,-0.07500000000000007,0.3008658008658007,2.528,2.405,2.347,2.169,2.36225,2.421636737249081,-0.07299999999999995,0.13185799907791607
suino,2023,2,43.0,14.076,1.321,0.719,4.94,48.95,119.32,2.558,2023-04-01,37,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.601,0.676,0.693,0.574,0.636,0.6222063901982564,0.118,0.2526132404181185,2.455,2.528,2.405,2.347,2.43375,2.4349820423494486,0.10299999999999976,0.08990200255645497
suino,2023,3,43.0,14.639,1.375,0.699,4.88,47.73,130.97,2.391,2023-07-01,38,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.719,0.601,0.676,0.693,0.67225,0.6609238341189538,-0.020000000000000018,0.008658008658008587,2.558,2.455,2.528,2.405,2.4865,2.484189225409669,-0.16699999999999982,-0.0058212058212057105
suino,2023,4,43.0,14.148,1.299,0.611,4.95,56.46,130.41,2.265,2023-10-01,39,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.699,0.719,0.601,0.676,0.67375,0.6761543004713724,-0.08799999999999997,-0.09615384615384626,2.391,2.558,2.455,2.528,2.483,2.4469135352458014,-0.1259999999999999,-0.10403481012658222
suino,2024,1,43.9,14.019,1.286,0.552,4.95,52.25,106.56,2.238,2024-01-01,40,0.0,1.0,0.0,1.0,0.611,0.699,0.719,0.601,0.6575,0.6500925802828235,-0.05899999999999994,-0.08153078202995001,2.265,2.391,2.558,2.455,2.41725,2.374148121147481,-0.027000000000000135,-0.08839103869653775
suino,2024,2,43.9,14.567,1.344,0.654,5.21,52.54,121.39,2.318,2024-04-01,41,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.552,0.611,0.699,0.719,0.6452500000000001,0.6108555481696941,0.10199999999999998,-0.09040333796940192,2.238,2.265,2.391,2.558,2.363,2.319688872688489,0.08000000000000007,-0.0938232994526973
suino,2024,3,43.9,14.956,1.398,0.817,5.54,54.57,123.69,2.454,2024-07-01,42,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.654,0.552,0.611,0.699,0.629,0.6281133289018165,0.16299999999999992,0.1688125894134478,2.318,2.238,2.265,2.391,2.303,2.319013323613093,0.13600000000000012,0.02634880803011308
suino,2024,4,43.9,14.275,1.311,0.806,5.83,64.4,128.58,2.533,2024-10-01,43,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0.817,0.654,0.552,0.611,0.6585,0.7036679973410899,-0.010999999999999899,0.3191489361702129,2.454,2.318,2.238,2.265,2.31875,2.373007994167856,0.07899999999999974,0.1183222958057395
